section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [g],acceleration y [g],acceleration z [g],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914600057e+18,-2.073171,-11.036586,1.463415,-0.069519,-0.9198,0.314453,11.0164321712105,18.9088627447589,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914600551e+18,-1.95122,-11.036586,1.52439,-0.069336,-0.918335,0.312744,11.1986974566871,18.6277794672954,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914601045e+18,-1.829268,-11.036586,1.768293,-0.06842,-0.923706,0.311951,10.7754436455614,18.696371656387,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914601539e+18,-1.890244,-11.280488,1.890244,-0.066589,-0.920959,0.311035,11.1699217958355,18.5923049150546,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914602033e+18,-2.134146,-11.402439,1.829268,-0.068787,-0.918762,0.313782,11.0292483791249,18.8810908682044,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914602527e+18,-2.073171,-11.463415,1.646341,-0.068604,-0.924011,0.310669,11.0148849081679,18.5637904434675,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914603021e+18,-2.195122,-11.52439,1.829268,-0.072266,-0.925354,0.310242,11.4248749652537,18.5015366601604,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914603515e+18,-2.195122,-11.52439,1.95122,-0.072327,-0.921997,0.311523,11.1590132584572,18.7413039326454,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914604009e+18,-2.134146,-11.646341,1.95122,-0.068542,-0.920776,0.312073,10.7292948672407,18.6729216729569,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914604503e+18,-2.195122,-11.707317,2.012195,-0.070007,-0.921448,0.309265,11.1123210239237,18.5459130197851,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914604997e+18,-2.134146,-11.707317,2.073171,-0.067627,-0.918396,0.308838,10.7181714826287,18.6706243438548,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914605491e+18,-2.073171,-11.707317,2.134146,-0.068848,-0.919739,0.311035,11.1370487863615,18.6817888121536,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914605985e+18,-2.317073,-11.707317,2.256098,-0.067322,-0.92157,0.312256,10.7183193818774,18.7571805348641,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914606479e+18,-2.317073,-11.829268,2.256098,-0.072205,-0.92157,0.313049,11.1378488445852,18.7538560201937,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030914606973e+18,-2.378049,-11.768293,2.012195,-0.06665,-0.922913,0.309204,10.8833528073598,18.4887549010134,,,,,
